"COM","TNCC","NCC","NCCENR","LIBELLE","DATE_DEBUT","DATE_FIN"
"01001","5","ABERGEMENT CLEMENCIAT","Abergement-Clémenciat","L'Abergement-Clémenciat","1943-01-01",""
"01002","5","ABERGEMENT DE VAREY","Abergement-de-Varey","L'Abergement-de-Varey","1943-01-01",""
"01003","1","AMAREINS","Amareins","Amareins","1943-01-01","1974-01-01"
"01004","1","AMBERIEU","Ambérieu","Ambérieu","1943-01-01","1955-03-31"
"01004","1","AMBERIEU EN BUGEY","Ambérieu-en-Bugey","Ambérieu-en-Bugey","1955-03-31",""
"01005","1","AMBERIEUX EN DOMBES","Ambérieux-en-Dombes","Ambérieux-en-Dombes","1943-01-01",""
"01006","1","AMBLEON","Ambléon","Ambléon","1943-01-01",""
"01007","1","AMBRONAY","Ambronay","Ambronay","1943-01-01",""
"01008","1","AMBUTRIX","Ambutrix","Ambutrix","1943-01-01",""
"01009","1","ANDERT ET CONDON","Andert-et-Condon","Andert-et-Condon","1943-01-01",""
"01010","1","ANGLEFORT","Anglefort","Anglefort","1943-01-01",""
"01011","1","APREMONT","Apremont","Apremont","1943-01-01",""
"01012","1","ARANC","Aranc","Aranc","1943-01-01",""
"01013","1","ARANDAS","Arandas","Arandas","1943-01-01",""
"01014","1","ARBENT","Arbent","Arbent","1943-01-01",""
"01015","1","ARBIGNIEU","Arbignieu","Arbignieu","1943-01-01","2016-01-01"
"01015","1","ARBOYS EN BUGEY","Arboys en Bugey","Arboys en Bugey","2016-01-01",""
"01016","1","ARBIGNY","Arbigny","Arbigny","1943-01-01",""
"01017","1","ARGIS","Argis","Argis","1943-01-01",""
"01018","1","ARLOD","Arlod","Arlod","1943-01-01","1971-01-01"
"01019","1","ARMIX","Armix","Armix","1943-01-01",""
"01020","1","ARNANS","Arnans","Arnans","1943-01-01","1964-06-04"
"01021","1","ARS","Ars","Ars","1943-01-01","1956-10-19"
"01021","1","ARS SUR FORMANS","Ars-sur-Formans","Ars-sur-Formans","1956-10-19",""
"01022","1","ARTEMARE","Artemare","Artemare","1943-01-01",""
"01023","1","ASNIERES SUR SAONE","Asnières-sur-Saône","Asnières-sur-Saône","1943-01-01",""
"01024","1","ATTIGNAT","Attignat","Attignat","1943-01-01",""
"01025","0","BAGE LA VILLE","Bâgé-la-Ville","Bâgé-la-Ville","1943-01-01","2018-01-01"
